target_cumulative_incidence	individuals_sampled	mu	prob_infected_donates	optimal_depth	achieved_prob	converged	relative_error	annual_reads
1e-4	100000	1e-7	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	100000	1e-7	0.2	999999992550	0.739	FALSE	0.22210526315789472	51999999612600
0.001	100000	1e-7	0.2	571342509800	0.938	TRUE	0.012631578947368433	29709810509600
1e-6	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
0.001	2000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-6	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
0.001	10000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-6	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-4	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
0.001	50000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-6	100000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-5	100000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
5e-5	100000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
1e-4	100000	1e-8	0.2	999999992550	0	FALSE	1	51999999612600
